timestamp_15m,temp,humidity,HLX_L18_AHU_Header_Low_Zone_Differential_Pressure,HLX_B1_Chiller_BTU_METER_Cooling_Capacity,HLX_B1_Chiller_DPM_MSB_IN_1_kW,HLX_B1_Chiller_DPM_MSB_IN_2_kW,kwh_15m,kwh_15m_exact,year,month,day,hour,minute,weekday,holiday
2025-07-07 09:45:00,84.2,74.46,0.15888500213623,548.785827636719,184.116821289063,166.064575195313,87.545349121094,,2025,7,7,9,45,0,0
2025-07-07 10:00:00,87.25999999999999,60.91,0.17077000439167,531.725158691406,182.905029296875,169.120483398438,88.00637817382825,,2025,7,7,10,0,0,0
2025-07-07 10:15:00,86.0,70.28,0.188909992575645,511.820983886719,203.709732055664,160.861419677734,91.1427879333495,,2025,7,7,10,15,0,0
2025-07-07 10:30:00,86.0,70.28,0.201420992612839,511.820983886719,190.8388671875,160.316284179688,87.788787841797,,2025,7,7,10,30,0,0
2025-07-07 10:45:00,86.0,62.27,0.16389000415802,526.038269042969,210.744003295898,161.727401733398,93.117851257324,,2025,7,7,10,45,0,0
2025-07-07 11:00:00,87.44,65.75,0.17577500641346,528.881713867188,196.064804077148,161.542221069336,89.40175628662101,,2025,7,7,11,0,0,0
2025-07-07 11:15:00,86.0,62.27,0.218309998512268,517.507934570313,204.508117675781,159.774871826172,91.07074737548825,,2025,7,7,11,15,0,0
2025-07-07 11:30:00,86.0,62.27,0.16388900578022,526.038269042969,208.698318481445,161.73828125,92.60914993286124,,2025,7,7,11,30,0,0
2025-07-07 11:45:00,86.0,62.27,0.173272997140884,526.038269042969,183.725555419922,162.741592407227,86.61678695678725,,2025,7,7,11,45,0,0
2025-07-07 12:00:00,89.06,65.92,0.167642995715141,514.664428710938,205.714340209961,162.81867980957,92.13325500488276,,2025,7,7,12,0,0,0
2025-07-07 12:15:00,87.80000000000001,58.8,0.178277000784874,526.038269042969,207.675964355469,162.136978149414,92.45323562622076,,2025,7,7,12,15,0,0
2025-07-07 12:30:00,87.80000000000001,58.8,0.188284993171692,520.351379394531,191.170608520508,161.57421875,88.18620681762701,,2025,7,7,12,30,0,0
2025-07-07 12:45:00,89.6,52.25,0.179527997970581,520.351379394531,207.653289794922,161.709976196289,92.34081649780275,,2025,7,7,12,45,0,0
2025-07-07 13:00:00,91.03999999999999,58.17,0.168267995119095,520.351379394531,208.487564086914,161.385269165039,92.46820831298825,,2025,7,7,13,0,0,0
2025-07-07 13:15:00,87.80000000000001,55.31,0.193913996219635,523.19482421875,206.434371948242,159.753921508789,91.54707336425776,,2025,7,7,13,15,0,0
2025-07-07 13:30:00,87.80000000000001,55.31,0.183907002210617,531.725158691406,214.053802490234,161.240768432617,93.82364273071275,,2025,7,7,13,30,0,0
2025-07-07 13:45:00,87.80000000000001,58.8,0.235826000571251,506.134094238281,196.356475830078,161.828094482422,89.546142578125,,2025,7,7,13,45,0,0
2025-07-07 14:00:00,92.30000000000001,53.61,0.179527997970581,506.134094238281,194.839935302734,159.147399902344,88.4968338012695,,2025,7,7,14,0,0,0
2025-07-07 14:15:00,89.6,55.55,0.182030007243156,514.664428710938,197.2158203125,159.752410888672,89.242057800293,,2025,7,7,14,15,0,0
2025-07-07 14:30:00,89.6,55.55,0.195792004466057,514.664428710938,197.854721069336,159.801361083984,89.41402053832999,,2025,7,7,14,30,0,0
2025-07-07 14:45:00,91.4,52.5,0.186408996582031,528.881713867188,211.938705444336,159.851348876953,92.94751358032225,,2025,7,7,14,45,0,0
2025-07-07 15:00:00,92.84,52.72,0.240205004811287,520.351379394531,199.483062744141,156.51530456543,88.99959182739275,,2025,7,7,15,0,0,0
2025-07-07 15:15:00,89.6,52.25,0.177026003599167,520.351379394531,197.486328125,154.944473266602,88.1077003479005,,2025,7,7,15,15,0,0
2025-07-07 15:30:00,89.6,52.25,0.185782998800278,511.820983886719,191.70783996582,154.237854003906,86.4864234924315,,2025,7,7,15,30,0,0
2025-07-07 15:45:00,87.80000000000001,55.31,0.19641700387001,511.820983886719,192.38655090332,155.064025878906,86.8626441955565,,2025,7,7,15,45,0,0
2025-07-07 16:00:00,90.86000000000001,55.72,0.220814004540443,511.820983886719,192.384460449219,156.084411621094,87.11721801757825,,2025,7,7,16,0,0,0
2025-07-07 16:15:00,87.80000000000001,55.31,0.207677006721497,511.820983886719,191.012817382813,154.495880126953,86.3771743774415,,2025,7,7,16,15,0,0
2025-07-07 16:30:00,87.80000000000001,55.31,0.183280006051064,511.820983886719,193.675201416016,156.053192138672,87.43209838867199,,2025,7,7,16,30,0,0
2025-07-07 16:45:00,87.80000000000001,48.87,0.182030007243156,511.820983886719,194.319122314453,155.652069091797,87.4927978515625,,2025,7,7,16,45,0,0
2025-07-07 17:00:00,90.86000000000001,51.95,0.206424996256828,514.664428710938,191.686538696289,154.309112548828,86.49891281127925,,2025,7,7,17,0,0,0
2025-07-07 17:15:00,87.80000000000001,48.87,0.17765100300312,511.820983886719,193.663238525391,156.133255004883,87.4491233825685,,2025,7,7,17,15,0,0
2025-07-07 17:30:00,87.80000000000001,48.87,0.190162003040314,520.351379394531,190.291427612305,156.875274658203,86.79167556762701,,2025,7,7,17,30,0,0
2025-07-07 17:45:00,86.0,58.57,0.183907002210617,511.820983886719,192.044769287109,155.381759643555,86.856632232666,,2025,7,7,17,45,0,0
2025-07-07 18:00:00,90.5,50.65,0.2151830047369,511.820983886719,193.641189575195,155.166870117188,87.20201492309576,,2025,7,7,18,0,0,0
